pull.request,attached.rmd,Q1,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q14
Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes,Did not answer,Yes,No,Yes,Yes,No,Yes,Yes,Did not answer,Did not answer
Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes,Yes,No,No,Yes,No,No,No,No,No,No
Yes,No,Yes,Yes,Yes,Yes,No,Yes,No,Yes,No,Yes,Yes,Yes,Yes,Did not answer
Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer
Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,No,Yes
Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer
Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Yes
Yes,No,Yes,Yes,Yes,Yes,Did not answer,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,Yes,No,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Did not answer,Yes,Yes,No,Did not answer
Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,No,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer
Yes,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer
Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes
Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer
Yes,No,Yes,Yes,Yes,Yes,Did not answer,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes
No,No,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer
NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer
NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,Yes,Yes,Yes,Yes
NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,No,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer,Did not answer
NA,NA,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Did not answer,No,No,No,No,No
NA,NA,Yes,Yes,Yes,Yes,Yes,,Yes,Yes,No,No,Did not answer,Did not answer,Did not answer,Did not answer
NA,NA,Yes,Yes,Yes,Yes,No,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes
